,state,Population2020,CrimeReported,CrimeRate,CrimeViolent,CrimeViolentRate,CrimeNonViolent,CrimeNonViolentRate,deathRatePer100k2021,GunViolenceTotalDeaths2021,GunViolenceTotalDeaths2020,deathRatePer100k,DomesticViolenceAgainstWomen,DomesticViolenceAgainstMen,PovertyRatesPopulationBelowPovertyLevel,PovertyRatesPercentOfPopulationBelowPovertyLevel,LiteracyRatesPercofPopulationWithLowLiteracy,LiteracyRatesPercof4thGradersBelowBasicReadingLevel,College,HighSchool
29,New Hampshire,1366275.0,4198.0,2344.184,2000.0,146.383,30028.0,2197.801,8.75379420043342,123.0,128.0,9.109639493133963,34.7,35.4,97403.0,7.2,11.5,33.0,37.6,93.3
30,New Jersey,8882371.0,19669.0,2511.751,17353.0,195.365,205750.0,2316.386,5.0960935492575,475.0,443.0,4.75277777330752,35.8,27.4,930602.0,10.2,20.7,33.0,40.7,90.3
31,New Mexico,2106319.0,22077.0,6462.032,16393.0,778.277,119718.0,5683.754,27.325168560360733,578.0,479.0,22.644906125281643,37.6,33.3,382798.0,18.4,29.1,52.0,28.1,86.5
32,New York,19336776.0,73160.0,3185.2,70339.0,363.758,545576.0,2821.442,5.536941570165685,1078.0,1052.0,5.403397524874119,31.7,29.0,2688587.0,13.9,24.4,42.0,37.5,87.2
33,North Carolina,10600823.0,48904.0,4872.292,44451.0,419.317,472052.0,4452.975,16.75623828190881,1839.0,1699.0,15.480613834128912,35.2,30.3,1378621.0,13.4,21.3,39.0,32.0,88.5
34,North Dakota,765309.0,6766.0,4577.236,2518.0,329.017,32512.0,4248.219,16.22430096078282,128.0,100.0,12.67523512561158,29.7,18.5,83350.0,11.1,13.4,35.0,30.7,93.1
35,Ohio,11693217.0,39805.0,4009.418,36104.0,308.76,432726.0,3700.658,16.178225632150834,1911.0,1764.0,14.93374673737,38.0,33.0,1536524.0,13.4,17.7,35.0,28.9,90.8
36,Oklahoma,3980783.0,23666.0,5869.825,18255.0,458.578,215410.0,5411.247,20.44821209002986,836.0,826.0,20.20361625163237,40.1,37.8,606782.0,15.6,20.1,45.0,26.1,88.6
37,Oregon,4241507.0,17698.0,5609.893,12380.0,291.877,225564.0,5318.016,15.849221389257586,670.0,592.0,14.004088152896257,39.8,36.2,507829.0,12.2,16.8,44.0,34.4,91.1
38,Pennsylvania,12783254.0,53081.0,3677.679,49793.0,389.517,420334.0,3288.161,14.708976529337846,1905.0,1752.0,13.52762565847764,37.1,30.4,1519032.0,12.1,18.1,36.0,32.3,91.0
